"","measure","value"
"1","Accuracy","0.9443"
"2","95% CI","(0.9951, 0.8939)"
"3","No Information Rate",NA
"4","P-Value [Acc > NIR]","< 2.2e-16"
"5","Kappa","0.8886"
"6","Mcnemar's Test P-Value","< 2.2e-16"
"7","Sensitivity","0.9951"
"8","Specificity","0.8939"
"9","Pos Pred Value","0.9029"
"10","Neg Pred Value","0.9946"
"11","Prevalence","0.498"
"12","Detection Rate","0.4955"
"13","Detection Prevalence","0.5488"
"14","Balanced Accuracy","0.9445"
